city,stateAbbr,per_dem,per_gop
Big Stone Gap,VA,0.17924087786,0.799346274431
Galt,MO,0.210105263158,0.763368421053
Wappingers Falls,NY,0.473165334154,0.483889217048
Puckett,MS,0.223955277397,0.752461047004
Occoquan,VA,0.573632761263,0.373237880901
Junction City,KS,0.360359096647,0.577360078552
Grover,NC,0.354810383623,0.571401130564
Commerce,OK,0.241811716264,0.713737600599
Parker,KS,0.318982530517,0.597233389372
Nashville,KS,0.181042365133,0.7640963121
Weston,FL,0.664719744008,0.314182517315
Newman,IL,0.511246337616,0.435294117647
Correll,MN,0.337486258703,0.588860388421
Kenesaw,NE,0.373998219056,0.591965964183
Farrell,PA,0.204590078101,0.757537414372
Belding,MI,0.311257775755,0.62107419208
Pitkin,CO,0.54500483923,0.349499946231
Hall Summit,LA,0.223042549058,0.762385855838
Morrice,MI,0.36855246152,0.56491599107
Crosbyton,TX,0.273364485981,0.689252336449
Junction City,KY,0.331141707921,0.621905940594
Mission Hill,SD,0.34328202995,0.587978369384
Windsor,SC,0.34004252872,0.614941222099
Loomis,CA,0.411666622379,0.524652565567
East Tawas,MI,0.32541763428,0.625065547981
Cloverdale,IN,0.236632164628,0.71411037925
Bradford,IL,0.389663365873,0.563856310134
Harvey,ND,0.178146258503,0.762329931973
Gilbert,MN,0.557834964935,0.395399737434
Cocoa,FL,0.380244769149,0.577787533762
Chicago,IL,0.292893401015,0.68883248731
Wheaton,IL,0.538831130776,0.398022420319
Ellsworth,IA,0.13272374619,0.846771958991
Lansford,ND,0.213558335758,0.722141402386
Hoffman Estates,IL,0.569047619048,0.344047619048
Tully,NY,0.536121732426,0.407773413488
Madison,VA,0.317565618691,0.637150274012
Senoia,GA,0.270276441328,0.693353991682
Toronto,KS,0.19014084507,0.748591549296
Valley Stream,NY,0.512509818244,0.45940041591
Dover,OH,0.296722211136,0.651192376771
Gaffney,SC,0.207532483085,0.772169331178
New Haven,KY,0.445859100279,0.503213289681
Bruce,MS,0.175115207373,0.77688172043
La Jara,CO,0.441561712846,0.474811083123
Troup,TX,0.266086266399,0.705030002044
Woodsboro,MD,0.297012433658,0.649565195724
Pendleton,IN,0.317565618691,0.637150274012
Richburg,SC,0.185979381443,0.789072164948
Longton,KS,0.262523458929,0.700447524181
Milaca,MN,0.286453506333,0.644114921223
Northbrook,IL,0.569047619048,0.344047619048
Echo,OR,0.285878388727,0.642326543115
Murchison,TX,0.189214536928,0.789616479652
Mound,MN,0.638202377483,0.285095830781
Solway,MN,0.407581159692,0.505864139613
Concord,AR,0.175551470588,0.789939839572
Lake Butler,FL,0.162798194713,0.809800128949
Lincolnwood,IL,0.569047619048,0.344047619048
Hooper,CO,0.459330143541,0.439466434682
Williston,SC,0.463656503851,0.515666209516
Smithfield,UT,0.186878118119,0.463864656206
Charles City,IA,0.288509784245,0.663447064727
Pippa Passes,KY,0.216296038916,0.756949270327
Platte,SD,0.27235653947,0.693853772211
Coyville,KS,0.248766554142,0.726616463256
Sullivan,WI,0.393968425876,0.547506977132
Fenton,LA,0.596440596441,0.395382395382
Peotone,IL,0.502491323322,0.445778495584
Wiley,CO,0.235636801928,0.704700683005
Lynch,NE,0.112084063047,0.856392294221
Notus,ID,0.231685808324,0.649311872457
Redkey,IN,0.237251946747,0.715523737754
Fayetteville,TN,0.131578947368,0.80721600381
Liberty Lake,WA,0.416136023952,0.499065267852
Dexter,MN,0.42326718599,0.501847955876
Dexter,MI,0.683890577508,0.268882110672
Carlin,NV,0.183337826908,0.730223779995
Stokesdale,NC,0.586896587289,0.386616525247
Statham,GA,0.228250312196,0.732100735396
Honey Grove,TX,0.177330437688,0.796525225526
West Alexandria,OH,0.211135531136,0.750964590965
Grand Lake,CO,0.433572710952,0.434021543986
Dibble,OK,0.17180355128,0.780984619039
Spooner,WI,0.362402031129,0.596533833756
Fayetteville,TX,0.279581220781,0.675775334167
Dyess,AR,0.282284607938,0.696999031946
Alexandria,KY,0.0738221354893,0.87973236688
Mount Vernon,OR,0.103134479272,0.877249747219
West Columbia,TX,0.358075081466,0.603951918601
Postville,IA,0.352347520842,0.595582857979
Hunter,KS,0.161187214612,0.812785388128
Stonewall,LA,0.382529450989,0.597688375194
La Rose,IL,0.221203087977,0.731101429336
Premont,TX,0.541713915438,0.43827960473
Jakin,GA,0.452739439565,0.533667921372
Midway,FL,0.679106843607,0.304406902487
Franklin,GA,0.176652401331,0.801236329054
Welch,WV,0.231267195339,0.746722770675
Malden,WA,0.455227572559,0.450362796834
O'Fallon,MO,0.341957666919,0.605970538261
Royal,IL,0.255043473319,0.699778371313
Portia,AR,0.180163494699,0.793140886448
Royal,IA,0.191345503719,0.7738336714
Philip,SD,0.073754789272,0.896551724138
Bangor,ME,0.409233684001,0.518534676173
Utica,KS,0.11149825784,0.847386759582
Woodville,AL,0.218698381236,0.739924017179
Mineral City,OH,0.296722211136,0.651192376771
Bonesteel,SD,0.186991869919,0.765184122429
East Bernard,TX,0.28816209968,0.690079553954
Kingdom City,MO,0.260783186072,0.682386155696
Madera,CA,0.38767766979,0.560984152001
Galena,IL,0.398317974412,0.546926724524
Endicott,NY,0.45342982603,0.49032282988
Lake City,SD,0.221203087977,0.731101429336
Lithopolis,OH,0.616423746889,0.357625311056
Graham,MO,0.267930924886,0.675813115796
Dunnellon,FL,0.302313400262,0.636927106067
Lake Bluff,IL,0.292893401015,0.68883248731
Wheatland,IA,0.305478805849,0.653750252712
Scotts Valley,CA,0.750469125796,0.177589442247
Posen,MI,0.33264033264,0.62176022176
Medina,TN,0.269708478752,0.707195647711
Buchanan,VA,0.240974196663,0.717182554584
Darlington,WI,0.432517758485,0.523151802157
Harlem,GA,0.461808993751,0.483490968689
Humboldt,NE,0.21767594108,0.732133115112
Bridgeville,DE,0.570691024623,0.408061953932
Tryon,NC,0.33352430479,0.610991141862
Meservey,IA,0.434763398577,0.511774842045
Solvang,CA,0.609655105222,0.327235970382
Du Pont,GA,0.280392959476,0.705689725747
Sedgewickville,MO,0.124360557418,0.851472922914
Marianna,FL,0.218698381236,0.739924017179
Gordonville,MO,0.229640677966,0.730549152542
Sodus,NY,0.221087533156,0.734549071618
Skykomish,WA,0.721489246539,0.217145372921
Copperhill,TN,0.33352430479,0.610991141862
Grand Ledge,MI,0.440577523974,0.495779908774
Keystone,SD,0.294799019711,0.624285205588
Dallas,TX,0.611264385885,0.348851460536
Luttrell,TN,0.162798194713,0.809800128949
Tenaha,TX,0.193672839506,0.790454144621
Dickens,IA,0.191345503719,0.7738336714
Norwich,CT,0.505520891052,0.438250339284
Medford,OR,0.218698381236,0.739924017179
Argusville,ND,0.193865242116,0.791142512494
Lapel,IN,0.317565618691,0.637150274012
Cottondale,FL,0.218698381236,0.739924017179
West Yellowstone,MT,0.457723935671,0.447775498859
Fort White,FL,0.461808993751,0.483490968689
Haysi,VA,0.208430913349,0.770023419204
Hurlock,MD,0.384387557434,0.559243071899
Bowling Green,KY,0.290315327975,0.661120791411
Popejoy,IA,0.380829770696,0.551787796347
Pecos,TX,0.372210223182,0.591072714183
Hewitt,MN,0.708235294118,0.229176470588
Dixon,KY,0.187478849408,0.772927241963
Lake View,SC,0.498632010944,0.481959644323
Slater,MO,0.339937434828,0.594160583942
Crown City,OH,0.203686050207,0.760009532888
Knox City,TX,0.181885125184,0.79381443299
Panama City,FL,0.408845310965,0.53515831633
Okmulgee,OK,0.314492961793,0.641051422005
Clifton,TN,0.221087533156,0.734549071618
