,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Geography,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
209,,"Glenwood town, Alabama",65137.0
210,,"Goldville town, Alabama",60164.0
211,49649.0,"Good Hope town, Alabama",60803.0
212,23571.0,"Goodwater town, Alabama",30493.0
213,28000.0,"Gordo town, Alabama",45750.0
214,22250.0,"Gordon town, Alabama",30553.0
215,18798.0,"Gordonville town, Alabama",35210.0
216,41563.0,"Goshen town, Alabama",44003.0
217,68523.0,"Graham CDP, Alabama",62222.0
218,54097.0,"Grand Bay CDP, Alabama",62421.0
219,52917.0,"Grant town, Alabama",72859.0
220,49390.0,"Grayson Valley CDP, Alabama",57662.0
221,42151.0,"Graysville city, Alabama",47447.0
222,20787.0,"Greensboro city, Alabama",41467.0
223,32948.0,"Greenville city, Alabama",46694.0
224,31842.0,"Grimes town, Alabama",39267.0
225,37063.0,"Grove Hill town, Alabama",54014.0
226,22065.0,"Guin city, Alabama",36685.0
227,,"Gulfcrest CDP, Alabama",55813.0
228,50814.0,"Gulf Shores city, Alabama",71727.0
229,42273.0,"Guntersville city, Alabama",61560.0
230,31964.0,"Gurley town, Alabama",42020.0
231,41563.0,"Gu-Win town, Alabama",61644.0
232,32411.0,"Hackleburg town, Alabama",39222.0
233,60426.0,"Hackneyville CDP, Alabama",57975.0
234,56000.0,"Haleburg town, Alabama",57620.0
235,25949.0,"Haleyville city, Alabama",34659.0
236,37391.0,"Hamilton city, Alabama",54376.0
237,48125.0,"Hammondville town, Alabama",95600.0
238,32381.0,"Hanceville city, Alabama",41667.0
239,41339.0,"Harpersville town, Alabama",55467.0
240,28098.0,"Hartford city, Alabama",45289.0
241,54248.0,"Hartselle city, Alabama",67683.0
242,63969.0,"Harvest CDP, Alabama",95513.0
243,39375.0,"Hatton CDP, Alabama",48866.0
244,50179.0,"Hayden town, Alabama",66449.0
245,20288.0,"Hayneville town, Alabama",38726.0
246,39566.0,"Hazel Green CDP, Alabama",53266.0
247,46135.0,"Headland city, Alabama",60992.0
248,37250.0,"Heath town, Alabama",54586.0
249,22708.0,"Heflin city, Alabama",38940.0
250,84888.0,"Helena city, Alabama",89331.0
251,35694.0,"Henagar city, Alabama",47010.0
252,50625.0,"Highland Lake town, Alabama",92351.0
253,134315.0,"Highland Lakes CDP, Alabama",157430.0
254,32500.0,"Hillsboro town, Alabama",43529.0
255,27205.0,"Hissop CDP, Alabama",40804.0
256,,"Hobson CDP, Alabama",26469.0
257,28125.0,"Hobson City town, Alabama",40383.0
258,32083.0,"Hodges town, Alabama",46251.0
259,48371.0,"Hokes Bluff city, Alabama",63764.0
260,44556.0,"Hollins CDP, Alabama",47734.0
261,,"Hollis Crossroads CDP, Alabama",34911.0
262,38482.0,"Holly Pond town, Alabama",46174.0
263,32500.0,"Hollywood town, Alabama",44165.0
264,32841.0,"Holt CDP, Alabama",40277.0
265,48438.0,"Holtville CDP, Alabama",58385.0
266,66573.0,"Homewood city, Alabama",97538.0
267,78056.0,"Hoover city, Alabama",103240.0
268,37500.0,"Horn Hill town, Alabama",64599.0
269,41141.0,"Hueytown city, Alabama",54022.0
270,39916.0,"Huguley CDP, Alabama",52880.0
271,51441.0,"Huntsville city, Alabama",74749.0
272,20536.0,"Hurtsboro town, Alabama",34589.0
273,40156.0,"Hytop town, Alabama",47440.0
274,36591.0,"Ider town, Alabama",44859.0
275,100078.0,"Indian Springs Village city, Alabama",135800.0
276,47949.0,"Irondale city, Alabama",67690.0
277,42188.0,"Ivalee CDP, Alabama",52625.0
278,31096.0,"Jackson city, Alabama",52141.0
279,39519.0,"Jacksons' Gap town, Alabama",46966.0
280,39216.0,"Jacksonville city, Alabama",52269.0
281,39075.0,"Jasper city, Alabama",58649.0
282,39722.0,"Jemison city, Alabama",50385.0
283,22571.0,"Joppa CDP, Alabama",23360.0
284,34167.0,"Kansas town, Alabama",38928.0
285,46875.0,"Kellyton town, Alabama",54259.0
286,36167.0,"Kennedy town, Alabama",50581.0
287,52143.0,"Killen town, Alabama",59870.0
288,71161.0,"Kimberly city, Alabama",76033.0
289,37500.0,"Kinsey town, Alabama",46386.0
290,31667.0,"Kinston town, Alabama",42666.0
291,26699.0,"Ladonia CDP, Alabama",35659.0
292,26932.0,"La Fayette city, Alabama",41156.0
293,45139.0,"Lakeview town, Alabama",47759.0
294,80573.0,"Lake View town, Alabama",88375.0
295,27297.0,"Lanett city, Alabama",44496.0
296,42750.0,"Langston town, Alabama",54239.0
297,56087.0,"Leeds city, Alabama",69513.0
298,44135.0,"Leesburg town, Alabama",53626.0
299,29844.0,"Leighton town, Alabama",36543.0
300,65526.0,"Leroy CDP, Alabama",69292.0
301,36875.0,"Lester town, Alabama",53161.0
302,63676.0,"Level Plains town, Alabama",71167.0
303,37917.0,"Lexington town, Alabama",47914.0
304,43750.0,"Libertyville town, Alabama",49986.0
305,52477.0,"Lillian CDP, Alabama",58766.0
306,52388.0,"Lincoln city, Alabama",65925.0
307,35000.0,"Linden city, Alabama",50810.0
