,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Geography,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
13910,42083.0,"Drexel city, Missouri",53462.0
13911,32500.0,"Dudley city, Missouri",51246.0
13912,40699.0,"Duenweg city, Missouri",46866.0
13913,39811.0,"Duquesne village, Missouri",49546.0
13914,30000.0,"Dutchtown village, Missouri",30879.0
13915,,"Eagle Rock CDP, Missouri",70814.0
13916,33438.0,"Eagleville town, Missouri",35841.0
13917,35750.0,"East Lynne city, Missouri",40389.0
13918,56250.0,"Easton city, Missouri",57001.0
13919,24906.0,"East Prairie city, Missouri",35873.0
13920,30000.0,"Edgar Springs city, Missouri",34284.0
13921,54083.0,"Edgerton city, Missouri",60709.0
13922,26719.0,"Edina city, Missouri",38010.0
13923,,"Edinburg CDP, Missouri",61515.0
13924,35139.0,"Edmundson city, Missouri",45031.0
13925,24978.0,"Eldon city, Missouri",32473.0
13926,23485.0,"El Dorado Springs city, Missouri",30913.0
13927,29868.0,"Ellington city, Missouri",44580.0
13928,74074.0,"Ellisville city, Missouri",99007.0
13929,31094.0,"Ellsinore city, Missouri",40440.0
13930,35000.0,"Elmer city, Missouri",42475.0
13931,,"Elmira village, Missouri",62753.0
13932,27000.0,"Elmo city, Missouri",40629.0
13933,37581.0,"Elsberry city, Missouri",44971.0
13934,36042.0,"Emerald Beach village, Missouri",51104.0
13935,22578.0,"Eminence city, Missouri",35695.0
13936,50000.0,"Emma city, Missouri",59680.0
13937,47500.0,"Eolia village, Missouri",53052.0
13938,35000.0,"Essex city, Missouri",48149.0
13939,20833.0,"Ethel town, Missouri",26536.0
13940,92125.0,"Eureka city, Missouri",114295.0
13941,46250.0,"Evergreen village, Missouri",57329.0
13942,33000.0,"Everton city, Missouri",41846.0
13943,36607.0,"Ewing city, Missouri",50063.0
13944,,"Excello CDP, Missouri",
13945,52250.0,"Excelsior Estates village, Missouri",56785.0
13946,48523.0,"Excelsior Springs city, Missouri",57320.0
13947,34457.0,"Exeter city, Missouri",37994.0
13948,57582.0,"Fairdealing CDP, Missouri",71953.0
13949,40324.0,"Fairfax city, Missouri",49607.0
13950,44792.0,"Fair Grove city, Missouri",55191.0
13951,27604.0,"Fair Play city, Missouri",42617.0
13952,26458.0,"Fairview town, Missouri",36374.0
13953,41094.0,"Farber city, Missouri",46686.0
13954,,"Farley village, Missouri",65047.0
13955,41649.0,"Farmington city, Missouri",52433.0
13956,37083.0,"Fayette city, Missouri",50387.0
13957,88309.0,"Fenton city, Missouri",105184.0
13958,41572.0,"Ferguson city, Missouri",50386.0
13959,30625.0,"Ferrelview village, Missouri",46422.0
13960,45523.0,"Festus city, Missouri",56413.0
13961,31964.0,"Fidelity town, Missouri",51276.0
13962,41944.0,"Fillmore city, Missouri",45191.0
13963,23438.0,"Fisk city, Missouri",32734.0
13964,56250.0,"Fleming city, Missouri",58098.0
13965,36250.0,"Flemington village, Missouri",36905.0
13966,97813.0,"Flint Hill city, Missouri",115914.0
13967,29250.0,"Flordell Hills city, Missouri",34342.0
13968,,"Florida village, Missouri",
13969,51603.0,"Florissant city, Missouri",61445.0
13970,33750.0,"Foley city, Missouri",32735.0
13971,33828.0,"Fordland city, Missouri",38694.0
13972,36000.0,"Forest City city, Missouri",44706.0
13973,76250.0,"Foristell city, Missouri",89896.0
13974,36360.0,"Forsyth city, Missouri",51274.0
13975,,"Fortescue town, Missouri",27100.0
13976,46030.0,"Fort Leonard Wood CDP, Missouri",55605.0
13977,112558.0,"Foster village, Missouri",80485.0
13978,,"Fountain N' Lakes village, Missouri",33841.0
13979,18750.0,"Frankclay CDP, Missouri",19235.0
13980,39688.0,"Frankford city, Missouri",48544.0
13981,28500.0,"Franklin city, Missouri",36730.0
13982,25853.0,"Fredericktown city, Missouri",34973.0
13983,43977.0,"Freeburg village, Missouri",61898.0
13984,59000.0,"Freeman city, Missouri",70132.0
13985,27917.0,"Freistatt village, Missouri",41771.0
13986,36944.0,"Fremont CDP, Missouri",40619.0
13987,102292.0,"Fremont Hills city, Missouri",122000.0
13988,37500.0,"Frohna city, Missouri",45614.0
13989,149821.0,"Frontenac city, Missouri",249916.0
13990,41275.0,"Fulton city, Missouri",51941.0
13991,19250.0,"Gainesville city, Missouri",28952.0
13992,28036.0,"Galena city, Missouri",33266.0
13993,37181.0,"Gallatin city, Missouri",46439.0
13994,32500.0,"Galt city, Missouri",31597.0
13995,37356.0,"Garden City city, Missouri",46091.0
13996,35625.0,"Gasconade city, Missouri",38286.0
13997,,"Gentry village, Missouri",55200.0
13998,40583.0,"Gerald city, Missouri",49558.0
13999,25625.0,"Gerster town, Missouri",31511.0
14000,43625.0,"Gibbs village, Missouri",41697.0
14001,26111.0,"Gideon city, Missouri",33664.0
14002,51250.0,"Gilliam city, Missouri",49941.0
14003,33125.0,"Gilman City city, Missouri",45554.0
14004,44375.0,"Ginger Blue village, Missouri",54006.0
14005,52093.0,"Gladstone city, Missouri",65360.0
14006,46000.0,"Glasgow city, Missouri",61664.0
14007,33864.0,"Glasgow Village CDP, Missouri",38605.0
14008,65139.0,"Glenaire city, Missouri",70430.0
14009,51875.0,"Glen Allen town, Missouri",60986.0
14010,128571.0,"Glendale city, Missouri",156930.0
14011,64167.0,"Glen Echo Park village, Missouri",82127.0
14012,27750.0,"Glenwood village, Missouri",31336.0
14013,30357.0,"Golden CDP, Missouri",45482.0
14014,29219.0,"Golden City city, Missouri",37896.0
14015,41354.0,"Goodman town, Missouri",57279.0
14016,,"Goodnight village, Missouri",
14017,64000.0,"Gordonville village, Missouri",94238.0
14018,,"Goss town, Missouri",
14019,56548.0,"Gower city, Missouri",62694.0
14020,38036.0,"Graham town, Missouri",43953.0
14021,58484.0,"Grain Valley city, Missouri",69083.0
14022,33542.0,"Granby city, Missouri",49739.0
14023,59688.0,"Grand Falls Plaza town, Missouri",72911.0
14024,18594.0,"Grandin city, Missouri",30386.0
14025,45625.0,"Grand Pass village, Missouri",42969.0
14026,42626.0,"Grandview city, Missouri",54651.0
14027,41250.0,"Granger village, Missouri",35663.0
14028,40938.0,"Grant City town, Missouri",44478.0
14029,121250.0,"Grantwood Village town, Missouri",131067.0
14030,32721.0,"Gravois Mills town, Missouri",27787.0
14031,48780.0,"Grayhawk CDP, Missouri",64529.0
14032,27500.0,"Grayridge CDP, Missouri",39806.0
14033,55000.0,"Gray Summit CDP, Missouri",62491.0
14034,32188.0,"Greencastle city, Missouri",38874.0
14035,31250.0,"Green City city, Missouri",42010.0
14036,43667.0,"Greendale city, Missouri",62578.0
14037,25250.0,"Greenfield city, Missouri",34430.0
14038,51094.0,"Green Park city, Missouri",68986.0
14039,49861.0,"Green Ridge city, Missouri",56128.0
14040,40833.0,"Greentop city, Missouri",49478.0
14041,29722.0,"Greenville city, Missouri",41261.0
14042,72500.0,"Greenwood city, Missouri",87049.0
14043,36250.0,"Guilford town, Missouri",36475.0
14044,65313.0,"Gunn City village, Missouri",54421.0
14045,29167.0,"Hale city, Missouri",40836.0
14046,29375.0,"Halfway village, Missouri",31919.0
14047,46736.0,"Hallsville city, Missouri",56198.0
14048,,"Halltown village, Missouri",32998.0
14049,32632.0,"Hamilton city, Missouri",48697.0
14050,33654.0,"Hanley Hills village, Missouri",41978.0
14051,39463.0,"Hannibal city, Missouri",50873.0
14052,54688.0,"Hardin city, Missouri",65590.0
14053,31875.0,"Harris town, Missouri",28039.0
14054,44500.0,"Harrisburg town, Missouri",54948.0
14055,41538.0,"Harrisonville city, Missouri",50512.0
14056,39219.0,"Hartsburg town, Missouri",44935.0
14057,16964.0,"Hartville city, Missouri",25431.0
14058,,"Hartwell CDP, Missouri",
14059,,"Harviell CDP, Missouri",
14060,22083.0,"Harwood village, Missouri",27856.0
14061,44219.0,"Hawk Point city, Missouri",49660.0
14062,24566.0,"Hayti city, Missouri",36759.0
14063,13750.0,"Hayti Heights city, Missouri",21884.0
14064,,"Hayward CDP, Missouri",40031.0
14065,19375.0,"Haywood City village, Missouri",28990.0
14066,45851.0,"Hazelwood city, Missouri",63732.0
14067,32500.0,"Henrietta city, Missouri",51727.0
14068,63425.0,"Herculaneum city, Missouri",67698.0
14069,38938.0,"Hermann city, Missouri",62431.0
14070,31250.0,"Hermitage city, Missouri",36251.0
14071,33667.0,"Higbee city, Missouri",44078.0
14072,47951.0,"Higginsville city, Missouri",53255.0
14073,39500.0,"High Hill city, Missouri",45874.0
14074,40375.0,"Highlandville city, Missouri",47526.0
14075,56563.0,"High Ridge CDP, Missouri",60877.0
14076,52115.0,"Hillsboro city, Missouri",60452.0
14077,23750.0,"Hillsdale village, Missouri",30149.0
14078,,"Hoberg village, Missouri",38933.0
14079,31111.0,"Holcomb city, Missouri",40557.0
14080,41711.0,"Holden city, Missouri",50007.0
14081,31563.0,"Holland town, Missouri",42661.0
14082,25833.0,"Holliday village, Missouri",34663.0
14083,29616.0,"Hollister city, Missouri",44240.0
14084,41071.0,"Holt city, Missouri",52294.0
14085,46809.0,"Holts Summit city, Missouri",57204.0
14086,39500.0,"Homestead village, Missouri",45724.0
14087,,"Homestown city, Missouri",30791.0
14088,33250.0,"Hopkins city, Missouri",38194.0
14089,42663.0,"Horine CDP, Missouri",44962.0
14090,35417.0,"Hornersville city, Missouri",45670.0
14091,24350.0,"Houston city, Missouri",42100.0
14092,35625.0,"Houstonia city, Missouri",54548.0
14093,74375.0,"Houston Lake city, Missouri",76415.0
14094,19091.0,"Howardville city, Missouri",25334.0
14095,45417.0,"Hughesville village, Missouri",51217.0
14096,22813.0,"Humansville city, Missouri",33796.0
14097,49063.0,"Hume town, Missouri",65813.0
14098,31528.0,"Humphreys village, Missouri",36928.0
14099,27054.0,"Hunnewell city, Missouri",34198.0
14100,,"Hunter CDP, Missouri",46225.0
14101,144375.0,"Huntleigh city, Missouri",277278.0
14102,,"Huntsdale town, Missouri",62793.0
14103,41023.0,"Huntsville city, Missouri",53239.0
14104,35469.0,"Hurdland city, Missouri",31331.0
14105,22333.0,"Hurley city, Missouri",30506.0
14106,95417.0,"Iatan village, Missouri",87178.0
14107,28810.0,"Iberia city, Missouri",37856.0
14108,61149.0,"Imperial CDP, Missouri",73147.0
14109,44415.0,"Independence city, Missouri",57455.0
14110,47708.0,"Indian Point village, Missouri",55348.0
14111,65833.0,"Innsbrook village, Missouri",86207.0
14112,30000.0,"Ionia town, Missouri",34412.0
14113,144167.0,"Irena village, Missouri",162000.0
14114,35000.0,"Irondale city, Missouri",40634.0
14115,25670.0,"Iron Mountain Lake city, Missouri",34821.0
14116,26958.0,"Ironton city, Missouri",38115.0
14117,,"Irwin CDP, Missouri",
14118,53997.0,"Jackson city, Missouri",69736.0
14119,36765.0,"Jacksonville village, Missouri",38796.0
14120,38438.0,"Jameson town, Missouri",43278.0
14121,23125.0,"Jamesport city, Missouri",35422.0
14122,43438.0,"Jamestown town, Missouri",43904.0
14123,,"Jane town, Missouri",60809.0
14124,33229.0,"Jasper city, Missouri",52330.0
14125,49005.0,"Jefferson City city, Missouri",61968.0
14126,31981.0,"Jennings city, Missouri",40902.0
14127,36875.0,"Jerico Springs village, Missouri",75784.0
14128,36679.0,"Jonesburg city, Missouri",46746.0
14129,39370.0,"Joplin city, Missouri",58605.0
14130,82981.0,"Josephville village, Missouri",106456.0
14131,21875.0,"Junction City village, Missouri",34390.0
14132,40924.0,"Kahoka city, Missouri",49441.0
14133,47489.0,"Kansas City city, Missouri",66106.0
14134,69010.0,"Kearney city, Missouri",74346.0
14135,51932.0,"Kelso village, Missouri",64289.0
14136,29569.0,"Kennett city, Missouri",45461.0
14137,27396.0,"Keytesville city, Missouri",35275.0
14138,38125.0,"Kidder city, Missouri",48230.0
14139,45729.0,"Kimberling City city, Missouri",60096.0
14140,50625.0,"Kimmswick city, Missouri",59515.0
14141,38500.0,"King City city, Missouri",48031.0
14142,36023.0,"Kingdom City village, Missouri",36010.0
14143,26406.0,"Kingston city, Missouri",32026.0
14144,40417.0,"Kingsville city, Missouri",49636.0
14145,18594.0,"Kinloch city, Missouri",23304.0
14146,31875.0,"Kirbyville village, Missouri",37897.0
14147,27402.0,"Kirksville city, Missouri",44580.0
14148,77917.0,"Kirkwood city, Missouri",108504.0
14149,30333.0,"Kissee Mills CDP, Missouri",37236.0
14150,42878.0,"Knob Noster city, Missouri",46685.0
14151,30625.0,"Knox City city, Missouri",40445.0
14152,21250.0,"Koshkonong town, Missouri",25715.0
14153,121442.0,"LaBarque Creek CDP, Missouri",139537.0
14154,31250.0,"La Belle city, Missouri",40058.0
14155,36563.0,"Laclede city, Missouri",42693.0
14156,28333.0,"Laddonia city, Missouri",39694.0
14157,31250.0,"La Due village, Missouri",33804.0
14158,186371.0,"Ladue city, Missouri",264755.0
14159,47604.0,"La Grange city, Missouri",45988.0
14160,37500.0,"Lake Annette city, Missouri",39114.0
14161,33333.0,"Lake Lafayette city, Missouri",42467.0
14162,90221.0,"Lake Lotawana city, Missouri",106546.0
14163,74625.0,"Lake Mykee Town village, Missouri",77346.0
14164,48250.0,"Lake Ozark city, Missouri",62315.0
14165,79439.0,"Lake St. Louis city, Missouri",104340.0
14166,46161.0,"Lakeshire city, Missouri",61880.0
14167,,"Lakeside city, Missouri",
14168,72813.0,"Lake Tapawingo city, Missouri",88056.0
14169,54375.0,"Lake Tekakwitha village, Missouri",62973.0
14170,31616.0,"Lake Viking CDP, Missouri",54008.0
14171,78214.0,"Lake Waukomis city, Missouri",84131.0
14172,100625.0,"Lake Winnebago city, Missouri",144676.0
14173,33776.0,"Lamar city, Missouri",50073.0
14174,28571.0,"Lamar Heights city, Missouri",39517.0
14175,,"Lambert village, Missouri",
14176,38482.0,"La Monte city, Missouri",41902.0
14177,29583.0,"Lanagan town, Missouri",34158.0
14178,30729.0,"Lancaster city, Missouri",40298.0
14179,36118.0,"La Plata city, Missouri",41543.0
14180,30208.0,"Laredo city, Missouri",35226.0
14181,44063.0,"La Russell city, Missouri",54872.0
14182,53711.0,"Lathrop city, Missouri",57255.0
14183,60781.0,"La Tour CDP, Missouri",56541.0
14184,26985.0,"Laurie city, Missouri",36892.0
14185,54000.0,"Lawson city, Missouri",64193.0
14186,38015.0,"Leadington city, Missouri",60830.0
14187,30109.0,"Leadwood city, Missouri",41984.0
14188,28958.0,"Leasburg village, Missouri",35713.0
14189,54286.0,"Leawood village, Missouri",94043.0
14190,31425.0,"Lebanon city, Missouri",42419.0
14191,80494.0,"Lee's Summit city, Missouri",95165.0
14192,38594.0,"Leeton city, Missouri",46143.0
14193,28250.0,"Leisure Lake CDP, Missouri",37642.0
14194,44520.0,"Lemay CDP, Missouri",50492.0
14195,43750.0,"Leonard village, Missouri",55232.0
14196,,"Leslie village, Missouri",41589.0
14197,44000.0,"Levasy city, Missouri",67473.0
14198,49107.0,"Lewis and Clark Village town, Missouri",48265.0
14199,35500.0,"Lewistown town, Missouri",44865.0
14200,39182.0,"Lexington city, Missouri",52977.0
14201,34102.0,"Liberal city, Missouri",38510.0
14202,68480.0,"Liberty city, Missouri",83117.0
14203,22075.0,"Licking city, Missouri",37524.0
14204,23106.0,"Lilbourn city, Missouri",32411.0
14205,26316.0,"Lincoln city, Missouri",33771.0
14206,36563.0,"Linn city, Missouri",47425.0
14207,44375.0,"Linn Creek city, Missouri",45819.0
14208,34643.0,"Linneus city, Missouri",40569.0
14209,28542.0,"Lithium village, Missouri",23993.0
14210,32500.0,"Livonia village, Missouri",34236.0
14211,136023.0,"Loch Lloyd village, Missouri",257164.0
14212,49375.0,"Lock Springs village, Missouri",45477.0
14213,28250.0,"Lockwood city, Missouri",43705.0
14214,55000.0,"Lohman city, Missouri",60738.0
14215,72750.0,"Loma Linda town, Missouri",90369.0
14216,71250.0,"Lone Jack city, Missouri",78241.0
14217,49545.0,"Longtown town, Missouri",67708.0
14218,22250.0,"Louisburg village, Missouri",34147.0
14219,36523.0,"Louisiana city, Missouri",44057.0
14220,26397.0,"Lowry City city, Missouri",34339.0
14221,36875.0,"Lucerne village, Missouri",51416.0
14222,30208.0,"Ludlow town, Missouri",34362.0
14223,35833.0,"Lupus town, Missouri",41811.0
14224,31875.0,"Luray village, Missouri",41753.0
14225,,"McBaine town, Missouri",36920.0
14226,24231.0,"McCord Bend village, Missouri",34540.0
14227,37000.0,"McFall city, Missouri",40036.0
14228,79750.0,"Mackenzie village, Missouri",80318.0
14229,44063.0,"McKittrick town, Missouri",42603.0
14230,20357.0,"Macks Creek CDP, Missouri",30536.0
14231,34297.0,"Macon city, Missouri",43983.0
14232,31953.0,"Madison city, Missouri",39927.0
14233,29063.0,"Maitland city, Missouri",33792.0
14234,30385.0,"Malden city, Missouri",43005.0
14235,32813.0,"Malta Bend town, Missouri",38725.0
14236,77978.0,"Manchester city, Missouri",99518.0
14237,21510.0,"Mansfield city, Missouri",29307.0
14238,41469.0,"Maplewood city, Missouri",53187.0
14239,29500.0,"Marble Hill city, Missouri",36156.0
14240,36020.0,"Marceline city, Missouri",46259.0
14241,32872.0,"Marionville city, Missouri",37421.0
14242,37403.0,"Marlborough village, Missouri",44274.0
14243,26250.0,"Marquand city, Missouri",36368.0
14244,37314.0,"Marshall city, Missouri",49199.0
14245,37107.0,"Marshfield city, Missouri",45859.0
14246,27031.0,"Marston city, Missouri",36932.0
14247,58977.0,"Marthasville city, Missouri",62975.0
14248,37250.0,"Martinsburg town, Missouri",53183.0
14249,60566.0,"Maryland Heights city, Missouri",73081.0
14250,30103.0,"Maryville city, Missouri",39587.0
14251,27969.0,"Matthews city, Missouri",37927.0
14252,31917.0,"Maysville city, Missouri",46818.0
14253,35375.0,"Mayview city, Missouri",39768.0
14254,48333.0,"Meadville city, Missouri",57073.0
14255,52685.0,"Mehlville CDP, Missouri",68162.0
14256,35965.0,"Memphis city, Missouri",42523.0
14257,34688.0,"Mendon city, Missouri",41325.0
14258,37500.0,"Mercer town, Missouri",39755.0
14259,29034.0,"Merriam Woods village, Missouri",39618.0
14260,18750.0,"Merwin village, Missouri",28010.0
14261,45156.0,"Meta city, Missouri",49297.0
14262,,"Metz town, Missouri",26415.0
14263,36756.0,"Mexico city, Missouri",46200.0
14264,,"Miami city, Missouri",52297.0
14265,26250.0,"Middletown town, Missouri",33644.0
14266,36806.0,"Milan city, Missouri",50380.0
14267,,"Milford village, Missouri",37842.0
14268,31875.0,"Millard village, Missouri",37623.0
14269,36023.0,"Miller city, Missouri",44488.0
14270,16458.0,"Mill Spring village, Missouri",22381.0
14271,30694.0,"Milo village, Missouri",36982.0
14272,27500.0,"Mindenmines city, Missouri",40737.0
14273,28750.0,"Mine La Motte CDP, Missouri",29403.0
14274,39688.0,"Miner city, Missouri",46899.0
14275,36146.0,"Mineral Point town, Missouri",38982.0
14276,36250.0,"Miramiguoa Park village, Missouri",51675.0
14277,45532.0,"Missouri City city, Missouri",45498.0
14278,33141.0,"Moberly city, Missouri",45731.0
14279,27000.0,"Mokane city, Missouri",36936.0
14280,35492.0,"Moline Acres city, Missouri",42119.0
14281,36599.0,"Monett city, Missouri",50514.0
14282,34688.0,"Monroe City city, Missouri",47921.0
14283,38333.0,"Montgomery City city, Missouri",44538.0
14284,76250.0,"Monticello village, Missouri",63637.0
14285,,"Montier CDP, Missouri",
14286,,"Montreal CDP, Missouri",7264.0
14287,35000.0,"Montrose city, Missouri",47632.0
14288,55268.0,"Mooresville village, Missouri",56583.0
14289,24884.0,"Morehouse city, Missouri",32194.0
14290,36705.0,"Morley city, Missouri",45889.0
14291,,"Morrison city, Missouri",35757.0
14292,30714.0,"Morrisville town, Missouri",47384.0
14293,46875.0,"Mosby city, Missouri",53287.0
14294,39198.0,"Moscow Mills city, Missouri",48727.0
14295,42396.0,"Mound City city, Missouri",52737.0
14296,,"Moundville town, Missouri",40530.0
14297,26224.0,"Mountain Grove city, Missouri",38688.0
14298,23484.0,"Mountain View city, Missouri",33010.0
14299,33542.0,"Mount Leonard town, Missouri",34767.0
14300,23125.0,"Mount Moriah town, Missouri",25907.0
14301,32335.0,"Mount Vernon city, Missouri",39374.0
14302,45456.0,"Murphy CDP, Missouri",55322.0
14303,53295.0,"Napoleon city, Missouri",57557.0
14304,31133.0,"Naylor city, Missouri",35230.0
14305,59688.0,"Neck City city, Missouri",60404.0
14306,21354.0,"Neelyville city, Missouri",35525.0
14307,42500.0,"Nelson city, Missouri",44417.0
14308,36055.0,"Neosho city, Missouri",46247.0
14309,29738.0,"Nevada city, Missouri",42789.0
14310,27321.0,"Newark village, Missouri",32818.0
14311,55208.0,"New Bloomfield city, Missouri",55989.0
14312,18889.0,"Newburg city, Missouri",29691.0
14313,30000.0,"New Cambria city, Missouri",38499.0
14314,30583.0,"New Florence city, Missouri",39815.0
14315,29219.0,"New Franklin city, Missouri",39040.0
14316,36250.0,"New Hampton city, Missouri",37670.0
14317,49044.0,"New Haven city, Missouri",53373.0
14318,42105.0,"New London city, Missouri",49787.0
14319,34375.0,"New Madrid city, Missouri",59707.0
14320,70781.0,"New Melle city, Missouri",99458.0
14321,34063.0,"Newtonia town, Missouri",41511.0
14322,38611.0,"Newtown town, Missouri",40522.0
14323,24861.0,"Niangua city, Missouri",43772.0
14324,48639.0,"Nixa city, Missouri",62767.0
14325,29118.0,"Noel city, Missouri",38122.0
14326,41667.0,"Norborne city, Missouri",58300.0
14327,32830.0,"Normandy city, Missouri",41195.0
14328,39608.0,"North Kansas City city, Missouri",45541.0
14329,,"North Lilbourn village, Missouri",25270.0
14330,50893.0,"Northmoor city, Missouri",54893.0
14331,37716.0,"Northwoods city, Missouri",39447.0
14332,27813.0,"Norwood city, Missouri",36933.0
14333,30813.0,"Norwood Court town, Missouri",36531.0
14334,30000.0,"Novelty village, Missouri",44626.0
14335,29107.0,"Novinger city, Missouri",41475.0
14336,50911.0,"Oak Grove city, Missouri",60867.0
14337,32813.0,"Oak Grove Village village, Missouri",39105.0
14338,111667.0,"Oakland city, Missouri",147673.0
14339,41875.0,"Oak Ridge town, Missouri",45147.0
14340,,"Oaks village, Missouri",84084.0
14341,52708.0,"Oakview village, Missouri",62462.0
14342,78993.0,"Oakville CDP, Missouri",94662.0
14343,94750.0,"Oakwood village, Missouri",115602.0
14344,65938.0,"Oakwood Park village, Missouri",71039.0
14345,50728.0,"Odessa city, Missouri",55565.0
14346,81004.0,"O'Fallon city, Missouri",94566.0
14347,51563.0,"Old Appleton town, Missouri",49094.0
14348,77823.0,"Old Jamestown CDP, Missouri",89751.0
14349,35313.0,"Old Monroe city, Missouri",39756.0
14350,36563.0,"Olean town, Missouri",37851.0
14351,68700.0,"Olivette city, Missouri",119979.0
14352,37750.0,"Olympian Village city, Missouri",45503.0
14353,38125.0,"Oran city, Missouri",53628.0
14354,44100.0,"Oregon city, Missouri",48901.0
14355,66016.0,"Oronogo city, Missouri",68786.0
14356,55938.0,"Orrick city, Missouri",57086.0
14357,37473.0,"Osage Beach city, Missouri",55660.0
14358,47031.0,"Osborn city, Missouri",48899.0
14359,25640.0,"Osceola city, Missouri",31598.0
14360,,"Osgood village, Missouri",
14361,39375.0,"Otterville city, Missouri",50302.0
14362,43799.0,"Overland city, Missouri",52885.0
14363,32969.0,"Owensville city, Missouri",43141.0
14364,,"Oxly CDP, Missouri",24260.0
14365,49116.0,"Ozark city, Missouri",63052.0
14366,75682.0,"Ozora CDP, Missouri",64238.0
14367,45262.0,"Pacific city, Missouri",56026.0
14368,27000.0,"Pagedale city, Missouri",32379.0
14369,41341.0,"Palmyra city, Missouri",49102.0
14370,35347.0,"Paris city, Missouri",42270.0
14371,58125.0,"Parkdale village, Missouri",64532.0
14372,33333.0,"Park Hills city, Missouri",43036.0
14373,116359.0,"Parkville city, Missouri",170119.0
14374,41875.0,"Parkway village, Missouri",49385.0
14375,26087.0,"Parma city, Missouri",30111.0
14376,40357.0,"Parnell city, Missouri",47946.0
14377,70000.0,"Pasadena Hills city, Missouri",75185.0
14378,69904.0,"Pasadena Park village, Missouri",82078.0
14379,29375.0,"Pascola village, Missouri",43506.0
14380,35625.0,"Passaic town, Missouri",37262.0
14381,42813.0,"Pattonsburg city, Missouri",41279.0
14382,32708.0,"Paynesville village, Missouri",37461.0
14383,40313.0,"Peaceful Village village, Missouri",40129.0
14384,51944.0,"Peculiar city, Missouri",57360.0
14385,36875.0,"Pendleton village, Missouri",42322.0
14386,16500.0,"Penermon village, Missouri",19950.0
14387,38281.0,"Perry city, Missouri",48578.0
14388,41859.0,"Perryville city, Missouri",51654.0
14389,47813.0,"Pevely city, Missouri",56029.0
14390,,"Phelps City CDP, Missouri",
14391,31071.0,"Phillipsburg village, Missouri",35236.0
14392,35625.0,"Pickering town, Missouri",38994.0
14393,31271.0,"Piedmont city, Missouri",44350.0
14394,40625.0,"Pierce City city, Missouri",45986.0
14395,68750.0,"Pierpont village, Missouri",82727.0
14396,34375.0,"Pilot Grove city, Missouri",46578.0
14397,29079.0,"Pilot Knob city, Missouri",42089.0
14398,28573.0,"Pine Lawn city, Missouri",32625.0
14399,32857.0,"Pineville city, Missouri",50116.0
14400,,"Pinhook village, Missouri",
14401,41250.0,"Plato village, Missouri",52835.0
14402,46591.0,"Platte City city, Missouri",60488.0
14403,83125.0,"Platte Woods city, Missouri",98664.0
14404,47125.0,"Plattsburg city, Missouri",56707.0
14405,62065.0,"Pleasant Hill city, Missouri",73527.0
14406,34107.0,"Pleasant Hope city, Missouri",39560.0
14407,53782.0,"Pleasant Valley city, Missouri",60892.0
14408,,"Plevna CDP, Missouri",
14409,,"Pocahontas town, Missouri",64403.0
14410,20625.0,"Pollock village, Missouri",18850.0
14411,36979.0,"Polo city, Missouri",45570.0
14412,36800.0,"Pomona CDP, Missouri",53876.0
14413,,"Pontiac CDP, Missouri",43736.0
14414,31675.0,"Poplar Bluff city, Missouri",44661.0
14415,57500.0,"Portage Des Sioux city, Missouri",59502.0
14416,28727.0,"Portageville city, Missouri",40482.0
14417,31250.0,"Potosi city, Missouri",39012.0
14418,48000.0,"Powersville village, Missouri",58696.0
14419,45357.0,"Prairie Home city, Missouri",44713.0
14420,53333.0,"Prathersville village, Missouri",64414.0
14421,26528.0,"Preston village, Missouri",34601.0
14422,31667.0,"Princeton city, Missouri",40893.0
14423,50069.0,"Purcell city, Missouri",50977.0
14424,20625.0,"Purdin city, Missouri",37275.0
14425,41400.0,"Purdy city, Missouri",42583.0
14426,37031.0,"Puxico city, Missouri",42504.0
14427,26250.0,"Queen City city, Missouri",53156.0
14428,16250.0,"Quitman town, Missouri",22276.0
14429,34167.0,"Qulin city, Missouri",39043.0
14430,,"Randolph village, Missouri",69458.0
14431,,"Ravanna CDP, Missouri",68326.0
14432,41875.0,"Ravenwood town, Missouri",55087.0
14433,40521.0,"Raymondville town, Missouri",41975.0
14434,76699.0,"Raymore city, Missouri",84741.0
14435,48565.0,"Raytown city, Missouri",58918.0
14436,38194.0,"Rayville CDP, Missouri",36487.0
14437,59375.0,"Rea city, Missouri",47797.0
14438,49375.0,"Redings Mill village, Missouri",49670.0
14439,39250.0,"Reeds town, Missouri",42645.0
14440,37188.0,"Reeds Spring city, Missouri",46461.0
14441,37500.0,"Renick village, Missouri",43745.0
14442,53750.0,"Rensselaer village, Missouri",67728.0
14443,51320.0,"Republic city, Missouri",59820.0
14444,41625.0,"Revere town, Missouri",38932.0
14445,33750.0,"Rhineland town, Missouri",44055.0
14446,27813.0,"Richards town, Missouri",34222.0
14447,31059.0,"Rich Hill city, Missouri",39459.0
14448,28125.0,"Richland city, Missouri",35367.0
14449,39162.0,"Richmond city, Missouri",50508.0
14450,71323.0,"Richmond Heights city, Missouri",110768.0
14451,57500.0,"Ridgely village, Missouri",56758.0
14452,30104.0,"Ridgeway city, Missouri",34767.0
